ID,Trial,Animal,layers,area,average mean,average min,average max,max mean,max min,max max
A2_24h_GCAMP6s_nov072021,post,2,8,50.568,11153.105,7037,50528,9747.771,0,65535
A2_GCAMP6s_nov062021,pre,2,17,50.568,11010.796,6465,40340,11010.796,6465,40340
A4_24h_GCAMP6s_nov072021,post,4,14,50.568,8350.719,5402,28677,19136.304,6720,65535
A4_GCAMP6s_nov062021,pre,4,14,50.568,9596.383,6049,34350,22218.122,7409,65535
A6_24h_GCAMP6s_nov072021,post,6,18,50.568,8311.873,5303,22311,21995.343,6339,65535
A6_GCAMP6s_nov062021,pre,6,11,50.568,7679.737,4431,35090,17192.548,5714,65535
A7_24h_GCAMP6s_nov072021,post,7,17,50.568,11170.647,8008,37758,25450.411,8944,65535
A7_GCAMP6s_nov062021,pre,7,18,50.568,6625.184,3983,25727,19318.924,4522,65535
A8_24h_GCAMP6s_nov072021,post,8,13,50.568,9669.47,5590,36157,22427.912,7330,65535
A8_GCAMP6s_nov062021,pre,8,15,50.568,6641.808,3827,27691,16832.36,4709,65535
A10_24h_GCAMP6s_nov072021,post,10,18,50.568,8388.756,5707,23671,20554.808,6838,65535
A10_GCAMP6s_nov062021,pre,10,16,50.568,8176.802,5086,36144,20420.2,6178,65535
A11_24h_GCAMP6s_nov072021,post,11,17,50.568,8194.473,3483,34731,24036.03,4223,65535
A11_GCAMP6s_nov062021,pre,11,22,50.568,5589.441,2220,24465,18947.125,2470,65535
A13_24h_GCAMP6s_nov072021,post,13,19,50.568,8229.173,5024,25357,22680.714,6084,65535
A13_GCAMP6s_nov062021,pre,13,16,50.568,6832.015,3986,26009,17473.119,5050,65535
A14_24h_GCAMP6s_nov072021,post,14,17,50.568,7236.19,3975,26925,20664.288,4656,65535
A14_GCAMP6s_nov062021,pre,14,21,50.568,8498.84,4527,37675,25380.853,5024,65535
A15_24h_GCAMP6s_nov072021,post,15,17,50.568,8505.88,5124,29349,22992.022,5723,65535
A15_GCAMP6s_nov062021,pre,15,22,50.568,5498.767,2687,22262,6760.829,0,65535
A16_24h_GCAMP6s_nov072021,post,16,20,50.568,7047.92,3944,26213,20821.502,4442,65535
A16_GCAMP6s_nov062021,pre,16,21,50.568,5554.008,2142,27820,18829.172,2362,65535
A17_24h_GCAMP6s_nov072021,post,17,17,50.568,10314.524,7017,28557,25171.55,8402,65535
A17_GCAMP6s_nov062021,pre,17,19,50.568,9581.109,6554,26010,25259.994,7550,65535
A18_24h_GCAMP6s_nov072021,post,18,19,50.568,9899.675,7313,24178,23764.239,8387,65535
A18_GCAMP6s_nov062021,pre,18,23,50.568,6001.31,3412,18220,19083.386,3770,65535
A19_24h_GCAMP6s_nov072021,post,19,21,50.568,8729.017,6147,27198,22691.201,7161,65535
A19_GCAMP6s_nov062021,pre,19,23,50.568,6936.699,4761,29933,20283.374,5480,65535